2026-06-18 11:21:01,830 | root | INFO | Picking simulations...
2026-06-18 11:58:26,562 | src.data_handling.data_loader | INFO | Label 11: 6 simulations -> train=5 val=1
2026-06-18 11:58:26,565 | src.data_handling.data_loader | INFO | Label 12: 6 simulations -> train=5 val=1
2026-06-18 11:58:26,567 | src.data_handling.data_loader | INFO | Label 13: 6 simulations -> train=5 val=1
2026-06-18 11:58:26,569 | src.data_handling.data_loader | INFO | Label 14: 6 simulations -> train=5 val=1
2026-06-18 11:58:26,572 | src.data_handling.data_loader | INFO | Label 15: 6 simulations -> train=5 val=1
2026-06-18 11:58:26,574 | src.data_handling.data_loader | INFO | Label 16: 6 simulations -> train=5 val=1
2026-06-18 11:58:26,576 | src.data_handling.data_loader | INFO | Label 17: 6 simulations -> train=5 val=1
2026-06-18 11:58:26,579 | src.data_handling.data_loader | INFO | Label 18: 6 simulations -> train=5 val=1
2026-06-18 11:58:26,582 | src.data_handling.data_loader | INFO | Label 19: 6 simulations -> train=5 val=1
2026-06-18 11:58:26,584 | src.data_handling.data_loader | INFO | Label 20: 6 simulations -> train=5 val=1
2026-06-18 11:58:26,599 | src.data_handling.data_loader | INFO | Split complete. Train shape=(98000, 55) | Validation shape=(22000, 55)
2026-06-18 11:58:26,612 | root | INFO | X_train Shape: (98000, 52)
2026-06-18 11:58:26,612 | root | INFO | y_train Shape: (98000,)
2026-06-18 11:58:26,612 | root | INFO | Training Random Forest...
2026-06-18 12:00:58,201 | root | INFO | Making predictions...
