2026-06-22 11:45:17,427 | src.data_handling.data_loader | INFO | Loading binary TEP dataset using random_state=42
2026-06-22 15:35:40,470 | src.data_handling.data_loader | INFO | Loaded 57600 rows from TEP_Faulty_Testing_Proc.csv
2026-06-22 15:35:40,492 | src.data_handling.data_loader | INFO | Test shape=(115200, 56)
2026-06-22 15:35:40,492 | src.data_handling.data_loader | INFO | Dataset loading pipeline completed successfully
2026-06-22 15:35:40,494 | src.data_handling.create_windows | INFO | Building windows: mode=stats | window_size=20 | stride=5
2026-06-22 15:35:40,494 | src.data_handling.create_windows | INFO | Input dataframe shape=(98000, 56)
2026-06-22 15:35:40,502 | src.data_handling.create_windows | INFO | Found 196 simulation groups
2026-06-22 15:35:42,623 | src.data_handling.create_windows | INFO | Window dataset shape=(19012, 208)
2026-06-22 15:35:42,623 | src.data_handling.create_windows | INFO | Generated 19012 windows with 208 features
2026-06-22 15:35:42,623 | src.data_handling.create_windows | INFO | Class distribution: normal=9312 anomalous=9700
2026-06-22 15:35:42,624 | src.data_handling.create_windows | INFO | Building windows: mode=stats | window_size=20 | stride=5
2026-06-22 15:35:42,624 | src.data_handling.create_windows | INFO | Input dataframe shape=(22000, 56)
2026-06-22 15:35:42,628 | src.data_handling.create_windows | INFO | Found 44 simulation groups
2026-06-22 15:35:43,138 | src.data_handling.create_windows | INFO | Window dataset shape=(4268, 208)
2026-06-22 15:35:43,138 | src.data_handling.create_windows | INFO | Generated 4268 windows with 208 features
2026-06-22 15:35:43,138 | src.data_handling.create_windows | INFO | Class distribution: normal=2328 anomalous=1940
2026-06-22 15:35:43,138 | src.data_handling.create_windows | INFO | Building windows: mode=stats | window_size=20 | stride=5
2026-06-22 15:35:43,138 | src.data_handling.create_windows | INFO | Input dataframe shape=(115200, 56)
2026-06-22 15:35:43,143 | src.data_handling.create_windows | INFO | Found 120 simulation groups
2026-06-22 15:35:45,637 | src.data_handling.create_windows | INFO | Window dataset shape=(22680, 208)
2026-06-22 15:35:45,637 | src.data_handling.create_windows | INFO | Generated 22680 windows with 208 features
2026-06-22 15:35:45,637 | src.data_handling.create_windows | INFO | Class distribution: normal=11340 anomalous=11340
2026-06-22 15:35:45,638 | root | INFO | Training Random Forest...
2026-06-22 15:36:04,069 | root | INFO | Evaluating Random Forest...
2026-06-22 15:36:07,211 | root | INFO | Saved model: /home/davideoliveira/Programming/AIProjects/AnomalyDetection/outputs/20260622_teste_random_forest/models/Random_Forest.joblib
2026-06-22 15:36:07,211 | root | INFO | Experiment finished.
2026-06-22 16:08:17,192 | src.data_handling.data_loader | INFO | Loading binary TEP dataset using random_state=42
2026-06-22 16:08:17,769 | src.data_handling.data_loader | INFO | Selected 120 simulation IDs from 500 available in TEP_FaultFree_Training_Proc.csv.
